Postcode District,All usual residents,Males,Females
AL1,36180,17993,18187
AL10,35900,18327,17573
AL2,23604,11596,12008
AL3,28462,13830,14632
AL4,27268,13388,13880
AL5,30240,14773,15467
AL6,11222,5495,5727
AL7,33890,16502,17388
AL8,13252,6245,7007
AL9,10409,4952,5457
B1,7989,4505,3484
B10,25908,13036,12872
B11,44704,22555,22149
B12,20755,10645,10110
B13,36817,18501,18316
B14,43413,21100,22313
B15,18221,9119,9102
B16,23770,12451,11319
B17,25563,12564,12999
B18,16283,8387,7896
B19,20068,10113,9955
B2,616,353,263
B20,34089,17190,16899
B21,30326,15283,15043
B23,42870,20844,22026
B24,28870,14153,14717
B25,16005,7774,8231
B26,32826,16217,16609
B27,24834,12215,12619
B28,30036,14725,15311
B29,42024,20151,21873
B3,2574,1503,1071
B30,29084,13943,15141
B31,54302,26244,28058
B32,38518,18230,20288
B33,34513,16567,17946
B34,19327,9130,10197
B35,9971,4582,5389
B36,34751,16710,18041
B37,35728,17307,18421
B38,21354,10213,11141
B4,4683,2367,2316
B42,24367,11736,12631
B43,28441,13818,14623
B44,37091,17789,19302
B45,30185,14724,15461
B46,12072,5912,6160
B47,9355,4553,4802
B48,5796,2821,2975
B49,10189,4971,5218
B5,11983,6146,5837
B50,5350,2608,2742
B6,19664,9925,9739
B60,27951,13655,14296
B61,23470,11491,11979
B62,24401,11958,12443
B63,36431,17814,18617
B64,16528,8130,8398
B65,23770,11621,12149
B66,21334,10590,10744
B67,30387,14866,15521
B68,30588,14889,15699
B69,28958,14372,14586
B7,8546,4172,4374
B70,27992,14263,13729
B71,30990,15147,15843
B72,9569,4658,4911
B73,22801,11105,11696
B74,32470,15731,16739
B75,26687,12889,13798
B76,21651,10527,11124
B77,57313,28232,29081
B78,24374,12080,12294
B79,22126,10739,11387
B8,41929,21004,20925
B80,7060,3444,3616
B9,24903,12260,12643
B90,45359,21977,23382
B91,33166,16106,17060
B92,37245,18114,19131
B93,19706,9569,10137
B94,7380,3682,3698
B95,5663,2725,2938
B96,5073,2475,2598
B97,33494,17037,16457
B98,50058,25022,25036
BA1,40723,19951,20772
BA10,3739,1820,1919
BA11,32454,15820,16634
BA12,28508,13799,14709
BA13,20224,9806,10418
BA14,48138,23548,24590
BA15,13139,6211,6928
BA16,13041,6376,6665
BA2,73752,36099,37653
BA20,10865,5376,5489
BA21,33619,16478,17141
BA22,18166,9428,8738
BA3,34710,17175,17535
BA4,17775,8888,8887
BA5,17534,8291,9243
BA6,12870,6246,6624
BA7,3514,1653,1861
BA8,4153,2047,2106
BA9,7242,3506,3736
BB1,66545,33266,33279
BB10,37432,18490,18942
BB11,22221,10852,11369
BB12,34613,17005,17608
BB18,17179,8486,8693
BB2,59924,29891,30033
BB3,34503,17062,17441
BB4,41401,20306,21095
BB5,61102,30208,30894
BB6,14659,7265,7394
BB7,31699,15595,16104
BB8,23041,11283,11758
